id,x,y
1,150,117
1,147,120
1,148,119
1,119,121
1,115,123
1,115,123
1,120,121
1,132,118
1,134,116
1,149,103
1,147,90
1,147,91
1,148,104
1,148,101
1,147,103
1,147,104
1,147,104
1,148,103
1,147,102
1,149,104
1,148,102
1,131,122
1,148,137
1,131,154
1,164,137
1,179,133
1,166,134
0,195,154
0,194,152
1,194,150
0,195,149
1,179,167
0,196,151
0,179,154
0,164,154
1,82,168
1,83,153
1,99,151
1,104,149
1,120,149
1,135,149
1,146,152
1,148,152
1,153,154
1,161,153
1,164,151
1,166,152
1,167,150
1,179,137
1,179,137
1,180,136
1,180,136
1,179,136
1,166,147
1,165,147
1,164,150
1,163,148
1,163,150
1,162,150
1,155,147
1,153,149
1,153,148
1,152,148
1,152,148
1,153,148
1,152,149
1,152,149
1,153,149
1,162,150
1,164,150
1,165,149
1,168,149
1,180,148
1,182,138
1,195,137
1,197,134
1,198,134
0,211,132
1,210,133
1,196,134
1,196,133
1,197,135
1,198,135
0,210,135
1,197,136
1,198,134
0,210,135
1,209,134
0,210,134
0,210,135
0,210,134
1,210,133
1,210,134
